Renewable,LC,Main,LS,Bmode,,,,,,,,,,,,
49,4,1.2,4,0,,392,1,1,0,0,1,0,0,0,,3
49,5,2,5,0,,393,1,1,0,0,1,0,0,0,,3
49,6,0.2,4,-1,,394,1,1,0,0,1,0,0,0,,3
49,7,1,5,-1,,395,1,1,0,0,1,0,0,0,,3
50,0,0,0,0,,396,1,1,0,0,1,0,0,0,,3
50,1,0.8,1,0,,397,1,1,0,0,1,0,0,0,,3
50,2,2,2,0,,398,1,1,0,0,1,0,0,0,,3
50,3,1.8,3,-1,,399,1,1,0,0,1,0,0,0,,3
50,4,1.2,4,0,,(blank),,,,,,,,,,
50,5,2,5,0,,Grand Total,200,200,0,-100,100,0,-200,-200,,0
50,6,0.2,4,-1,,,,,,,,,,,,
50,7,1,5,-1,,,,,,,,,,,,
51,0,0,0,0,,,,,,,,,,,,
51,1,0.8,1,0,,,,,,,,,,,,
51,2,2,2,0,,,,,,,,,,,,
51,3,1.8,3,-1,,,,,,,,,,,,
51,4,1.2,4,0,,,,,,,,,,,,
51,5,2,5,0,,,,,,,,,,,,
51,6,0.2,4,-1,,,,,,,,,,,,
51,7,1,5,-1,,,,,,,,,,,,
52,0,0,0,0,,,,,,,,,,,,
52,1,0.8,1,0,,,,,,,,,,,,
52,2,2,2,0,,,,,,,,,,,,
52,3,1.8,3,-1,,,,,,,,,,,,
52,4,1.2,4,0,,,,,,,,,,,,
52,5,2,5,0,,,,,,,,,,,,
52,6,0.2,4,-1,,,,,,,,,,,,
52,7,1,5,-1,,,,,,,,,,,,
53,0,0,0,0,,,,,,,,,,,,
53,1,0.8,1,0,,,,,,,,,,,,
53,2,2,2,0,,,,,,,,,,,,
53,3,1.8,3,-1,,,,,,,,,,,,
53,4,1.2,4,0,,,,,,,,,,,,
53,5,2,5,0,,,,,,,,,,,,
53,6,0.2,4,-1,,,,,,,,,,,,
53,7,1,5,-1,,,,,,,,,,,,
54,0,0,0,0,,,,,,,,,,,,
54,1,0.8,1,0,,,,,,,,,,,,
54,2,2,2,0,,,,,,,,,,,,
54,3,1.8,3,-1,,,,,,,,,,,,
54,4,1.2,4,0,,,,,,,,,,,,
54,5,2,5,0,,,,,,,,,,,,
54,6,0.2,4,-1,,,,,,,,,,,,
54,7,1,5,-1,,,,,,,,,,,,
55,0,0,0,0,,,,,,,,,,,,
55,1,0.8,1,0,,,,,,,,,,,,
55,2,2,2,0,,,,,,,,,,,,
55,3,1.8,3,-1,,,,,,,,,,,,
55,4,1.2,4,0,,,,,,,,,,,,
55,5,2,5,0,,,,,,,,,,,,
55,6,0.2,4,-1,,,,,,,,,,,,
55,7,1,5,-1,,,,,,,,,,,,
56,0,0,0,0,,,,,,,,,,,,
56,1,0.8,1,0,,,,,,,,,,,,
56,2,2,2,0,,,,,,,,,,,,
56,3,1.8,3,-1,,,,,,,,,,,,
56,4,1.2,4,0,,,,,,,,,,,,
56,5,2,5,0,,,,,,,,,,,,
56,6,0.2,4,-1,,,,,,,,,,,,
56,7,1,5,-1,,,,,,,,,,,,
57,0,0,0,0,,,,,,,,,,,,
57,1,0.8,1,0,,,,,,,,,,,,
57,2,2,2,0,,,,,,,,,,,,
57,3,1.8,3,-1,,,,,,,,,,,,
57,4,1.2,4,0,,,,,,,,,,,,
57,5,2,5,0,,,,,,,,,,,,
57,6,0.2,4,-1,,,,,,,,,,,,
57,7,1,5,-1,,,,,,,,,,,,
58,0,0,0,0,,,,,,,,,,,,
58,1,0.8,1,0,,,,,,,,,,,,
58,2,2,2,0,,,,,,,,,,,,
58,3,1.8,3,-1,,,,,,,,,,,,
58,4,1.2,4,0,,,,,,,,,,,,
58,5,2,5,0,,,,,,,,,,,,
58,6,0.2,4,-1,,,,,,,,,,,,
58,7,1,5,-1,,,,,,,,,,,,
59,0,0,0,0,,,,,,,,,,,,
59,1,0.8,1,0,,,,,,,,,,,,
59,2,2,2,0,,,,,,,,,,,,
59,3,1.8,3,-1,,,,,,,,,,,,
59,4,1.2,4,0,,,,,,,,,,,,
59,5,2,5,0,,,,,,,,,,,,
59,6,0.2,4,-1,,,,,,,,,,,,
59,7,1,5,-1,,,,,,,,,,,,
60,0,0,0,0,,,,,,,,,,,,
60,1,0.8,1,0,,,,,,,,,,,,
60,2,2,2,0,,,,,,,,,,,,
60,3,1.8,3,-1,,,,,,,,,,,,
60,4,1.2,4,0,,,,,,,,,,,,
60,5,2,5,0,,,,,,,,,,,,
60,6,0.2,4,-1,,,,,,,,,,,,
60,7,1,5,-1,,,,,,,,,,,,
61,0,0,0,0,,,,,,,,,,,,
61,1,0.8,1,0,,,,,,,,,,,,
61,2,2,2,0,,,,,,,,,,,,
61,3,1.8,3,-1,,,,,,,,,,,,
61,4,1.2,4,0,,,,,,,,,,,,
61,5,2,5,0,,,,,,,,,,,,
61,6,0.2,4,-1,,,,,,,,,,,,
61,7,1,5,-1,,,,,,,,,,,,
62,0,0,0,0,,,,,,,,,,,,
62,1,0.8,1,0,,,,,,,,,,,,
62,2,2,2,0,,,,,,,,,,,,
62,3,1.8,3,-1,,,,,,,,,,,,
62,4,1.2,4,0,,,,,,,,,,,,
62,5,2,5,0,,,,,,,,,,,,
62,6,0.2,4,-1,,,,,,,,,,,,
62,7,1,5,-1,,,,,,,,,,,,
63,0,0,0,0,,,,,,,,,,,,
63,1,0.8,1,0,,,,,,,,,,,,
63,2,2,2,0,,,,,,,,,,,,
63,3,1.8,3,-1,,,,,,,,,,,,
63,4,1.2,4,0,,,,,,,,,,,,
63,5,2,5,0,,,,,,,,,,,,
63,6,0.2,4,-1,,,,,,,,,,,,
63,7,1,5,-1,,,,,,,,,,,,
64,0,0,0,0,,,,,,,,,,,,
64,1,0.8,1,0,,,,,,,,,,,,
64,2,2,2,0,,,,,,,,,,,,
64,3,1.8,3,-1,,,,,,,,,,,,
64,4,1.2,4,0,,,,,,,,,,,,
64,5,2,5,0,,,,,,,,,,,,
64,6,0.2,4,-1,,,,,,,,,,,,
64,7,1,5,-1,,,,,,,,,,,,
65,0,0,0,0,,,,,,,,,,,,
65,1,0.8,1,0,,,,,,,,,,,,
65,2,2,2,0,,,,,,,,,,,,
65,3,1.8,3,-1,,,,,,,,,,,,
65,4,1.2,4,0,,,,,,,,,,,,
65,5,2,5,0,,,,,,,,,,,,
65,6,0.2,4,-1,,,,,,,,,,,,
65,7,1,5,-1,,,,,,,,,,,,
66,0,0,0,0,,,,,,,,,,,,
66,1,0.8,1,0,,,,,,,,,,,,
66,2,2,2,0,,,,,,,,,,,,
66,3,1.8,3,-1,,,,,,,,,,,,
66,4,1.2,4,0,,,,,,,,,,,,
66,5,2,5,0,,,,,,,,,,,,
66,6,0.2,4,-1,,,,,,,,,,,,
66,7,1,5,-1,,,,,,,,,,,,
67,0,0,0,0,,,,,,,,,,,,
67,1,0.8,1,0,,,,,,,,,,,,
67,2,2,2,0,,,,,,,,,,,,
67,3,1.8,3,-1,,,,,,,,,,,,
67,4,1.2,4,0,,,,,,,,,,,,
67,5,2,5,0,,,,,,,,,,,,
67,6,0.2,4,-1,,,,,,,,,,,,
67,7,1,5,-1,,,,,,,,,,,,
68,0,0,0,0,,,,,,,,,,,,
68,1,0.8,1,0,,,,,,,,,,,,
68,2,2,2,0,,,,,,,,,,,,
68,3,1.8,3,-1,,,,,,,,,,,,
68,4,1.2,4,0,,,,,,,,,,,,
68,5,2,5,0,,,,,,,,,,,,
68,6,0.2,4,-1,,,,,,,,,,,,
68,7,1,5,-1,,,,,,,,,,,,
69,0,0,0,0,,,,,,,,,,,,
69,1,0.8,1,0,,,,,,,,,,,,
69,2,2,2,0,,,,,,,,,,,,
69,3,1.8,3,-1,,,,,,,,,,,,
69,4,1.2,4,0,,,,,,,,,,,,
69,5,2,5,0,,,,,,,,,,,,
69,6,0.2,4,-1,,,,,,,,,,,,
69,7,1,5,-1,,,,,,,,,,,,
70,0,0,0,0,,,,,,,,,,,,
70,1,0.8,1,0,,,,,,,,,,,,
70,2,2,2,0,,,,,,,,,,,,
70,3,1.8,3,-1,,,,,,,,,,,,
70,4,1.2,4,0,,,,,,,,,,,,
70,5,2,5,0,,,,,,,,,,,,
70,6,0.2,4,-1,,,,,,,,,,,,
70,7,1,5,-1,,,,,,,,,,,,
71,0,0,0,0,,,,,,,,,,,,
71,1,0.8,1,0,,,,,,,,,,,,
71,2,2,2,0,,,,,,,,,,,,
71,3,1.8,3,-1,,,,,,,,,,,,
71,4,1.2,4,0,,,,,,,,,,,,
71,5,2,5,0,,,,,,,,,,,,
71,6,0.2,4,-1,,,,,,,,,,,,
71,7,1,5,-1,,,,,,,,,,,,
72,0,0,0,0,,,,,,,,,,,,
72,1,0.8,1,0,,,,,,,,,,,,
72,2,2,2,0,,,,,,,,,,,,
72,3,1.8,3,-1,,,,,,,,,,,,
72,4,1.2,4,0,,,,,,,,,,,,
72,5,2,5,0,,,,,,,,,,,,
72,6,0.2,4,-1,,,,,,,,,,,,
72,7,1,5,-1,,,,,,,,,,,,
73,0,0,0,0,,,,,,,,,,,,
73,1,0.8,1,0,,,,,,,,,,,,
73,2,2,2,0,,,,,,,,,,,,
73,3,1.8,3,-1,,,,,,,,,,,,
73,4,1.2,4,0,,,,,,,,,,,,
73,5,2,5,0,,,,,,,,,,,,
73,6,0.2,4,-1,,,,,,,,,,,,
73,7,1,5,-1,,,,,,,,,,,,
74,0,0,0,0,,,,,,,,,,,,
74,1,0.8,1,0,,,,,,,,,,,,
74,2,2,2,0,,,,,,,,,,,,
74,3,1.8,3,-1,,,,,,,,,,,,
74,4,1.2,4,0,,,,,,,,,,,,
74,5,2,5,0,,,,,,,,,,,,
74,6,0.2,4,-1,,,,,,,,,,,,
74,7,1,5,-1,,,,,,,,,,,,
75,0,0,0,0,,,,,,,,,,,,
75,1,0.8,1,0,,,,,,,,,,,,
75,2,2,2,0,,,,,,,,,,,,
75,3,1.8,3,-1,,,,,,,,,,,,
75,4,1.2,4,0,,,,,,,,,,,,
75,5,2,5,0,,,,,,,,,,,,
75,6,0.2,4,-1,,,,,,,,,,,,
75,7,1,5,-1,,,,,,,,,,,,
76,0,0,0,0,,,,,,,,,,,,
76,1,0.8,1,0,,,,,,,,,,,,
76,2,2,2,0,,,,,,,,,,,,
76,3,1.8,3,-1,,,,,,,,,,,,
76,4,1.2,4,0,,,,,,,,,,,,
76,5,2,5,0,,,,,,,,,,,,
76,6,0.2,4,-1,,,,,,,,,,,,
76,7,1,5,-1,,,,,,,,,,,,
77,0,0,0,0,,,,,,,,,,,,
77,1,0.8,1,0,,,,,,,,,,,,
77,2,2,2,0,,,,,,,,,,,,
77,3,1.8,3,-1,,,,,,,,,,,,
77,4,1.2,4,0,,,,,,,,,,,,
77,5,2,5,0,,,,,,,,,,,,
77,6,0.2,4,-1,,,,,,,,,,,,
77,7,1,5,-1,,,,,,,,,,,,
78,0,0,0,0,,,,,,,,,,,,
78,1,0.8,1,0,,,,,,,,,,,,
78,2,2,2,0,,,,,,,,,,,,
78,3,1.8,3,-1,,,,,,,,,,,,
78,4,1.2,4,0,,,,,,,,,,,,
78,5,2,5,0,,,,,,,,,,,,
78,6,0.2,4,-1,,,,,,,,,,,,
78,7,1,5,-1,,,,,,,,,,,,
79,0,0,0,0,,,,,,,,,,,,
79,1,0.8,1,0,,,,,,,,,,,,
79,2,2,2,0,,,,,,,,,,,,
79,3,1.8,3,-1,,,,,,,,,,,,
79,4,1.2,4,0,,,,,,,,,,,,
79,5,2,5,0,,,,,,,,,,,,
79,6,0.2,4,-1,,,,,,,,,,,,
79,7,1,5,-1,,,,,,,,,,,,
80,0,0,0,0,,,,,,,,,,,,
80,1,0.8,1,0,,,,,,,,,,,,
80,2,2,2,0,,,,,,,,,,,,
80,3,1.8,3,-1,,,,,,,,,,,,
80,4,1.2,4,0,,,,,,,,,,,,
80,5,2,5,0,,,,,,,,,,,,
80,6,0.2,4,-1,,,,,,,,,,,,
80,7,1,5,-1,,,,,,,,,,,,
81,0,0,0,0,,,,,,,,,,,,
81,1,0.8,1,0,,,,,,,,,,,,
81,2,2,2,0,,,,,,,,,,,,
81,3,1.8,3,-1,,,,,,,,,,,,
81,4,1.2,4,0,,,,,,,,,,,,
81,5,2,5,0,,,,,,,,,,,,
81,6,0.2,4,-1,,,,,,,,,,,,
81,7,1,5,-1,,,,,,,,,,,,
82,0,0,0,0,,,,,,,,,,,,
82,1,0.8,1,0,,,,,,,,,,,,
82,2,2,2,0,,,,,,,,,,,,
82,3,1.8,3,-1,,,,,,,,,,,,
82,4,1.2,4,0,,,,,,,,,,,,
82,5,2,5,0,,,,,,,,,,,,
82,6,0.2,4,-1,,,,,,,,,,,,
82,7,1,5,-1,,,,,,,,,,,,
83,0,0,0,0,,,,,,,,,,,,
83,1,0.8,1,0,,,,,,,,,,,,
83,2,2,2,0,,,,,,,,,,,,
83,3,1.8,3,-1,,,,,,,,,,,,
83,4,1.2,4,0,,,,,,,,,,,,
83,5,2,5,0,,,,,,,,,,,,
83,6,0.2,4,-1,,,,,,,,,,,,
83,7,1,5,-1,,,,,,,,,,,,
84,0,0,0,0,,,,,,,,,,,,
84,1,0.8,1,0,,,,,,,,,,,,
84,2,2,2,0,,,,,,,,,,,,
84,3,1.8,3,-1,,,,,,,,,,,,
84,4,1.2,4,0,,,,,,,,,,,,
84,5,2,5,0,,,,,,,,,,,,
84,6,0.2,4,-1,,,,,,,,,,,,
84,7,1,5,-1,,,,,,,,,,,,
85,0,0,0,0,,,,,,,,,,,,
85,1,0.8,1,0,,,,,,,,,,,,
85,2,2,2,0,,,,,,,,,,,,
85,3,1.8,3,-1,,,,,,,,,,,,
85,4,1.2,4,0,,,,,,,,,,,,
85,5,2,5,0,,,,,,,,,,,,
85,6,0.2,4,-1,,,,,,,,,,,,
85,7,1,5,-1,,,,,,,,,,,,
86,0,0,0,0,,,,,,,,,,,,
86,1,0.8,1,0,,,,,,,,,,,,
86,2,2,2,0,,,,,,,,,,,,
86,3,1.8,3,-1,,,,,,,,,,,,
86,4,1.2,4,0,,,,,,,,,,,,
86,5,2,5,0,,,,,,,,,,,,
86,6,0.2,4,-1,,,,,,,,,,,,
86,7,1,5,-1,,,,,,,,,,,,
87,0,0,0,0,,,,,,,,,,,,
87,1,0.8,1,0,,,,,,,,,,,,
87,2,2,2,0,,,,,,,,,,,,
87,3,1.8,3,-1,,,,,,,,,,,,
87,4,1.2,4,0,,,,,,,,,,,,
87,5,2,5,0,,,,,,,,,,,,
87,6,0.2,4,-1,,,,,,,,,,,,
87,7,1,5,-1,,,,,,,,,,,,
88,0,0,0,0,,,,,,,,,,,,
88,1,0.8,1,0,,,,,,,,,,,,
88,2,2,2,0,,,,,,,,,,,,
88,3,1.8,3,-1,,,,,,,,,,,,
88,4,1.2,4,0,,,,,,,,,,,,
88,5,2,5,0,,,,,,,,,,,,
88,6,0.2,4,-1,,,,,,,,,,,,
88,7,1,5,-1,,,,,,,,,,,,
89,0,0,0,0,,,,,,,,,,,,
89,1,0.8,1,0,,,,,,,,,,,,
89,2,2,2,0,,,,,,,,,,,,
89,3,1.8,3,-1,,,,,,,,,,,,
89,4,1.2,4,0,,,,,,,,,,,,
89,5,2,5,0,,,,,,,,,,,,
89,6,0.2,4,-1,,,,,,,,,,,,
89,7,1,5,-1,,,,,,,,,,,,
90,0,0,0,0,,,,,,,,,,,,
90,1,0.8,1,0,,,,,,,,,,,,
90,2,2,2,0,,,,,,,,,,,,
90,3,1.8,3,-1,,,,,,,,,,,,
90,4,1.2,4,0,,,,,,,,,,,,
90,5,2,5,0,,,,,,,,,,,,
90,6,0.2,4,-1,,,,,,,,,,,,
90,7,1,5,-1,,,,,,,,,,,,
91,0,0,0,0,,,,,,,,,,,,
91,1,0.8,1,0,,,,,,,,,,,,
91,2,2,2,0,,,,,,,,,,,,
91,3,1.8,3,-1,,,,,,,,,,,,
91,4,1.2,4,0,,,,,,,,,,,,
91,5,2,5,0,,,,,,,,,,,,
91,6,0.2,4,-1,,,,,,,,,,,,
91,7,1,5,-1,,,,,,,,,,,,
92,0,0,0,0,,,,,,,,,,,,
92,1,0.8,1,0,,,,,,,,,,,,
92,2,2,2,0,,,,,,,,,,,,
92,3,1.8,3,-1,,,,,,,,,,,,
92,4,1.2,4,0,,,,,,,,,,,,
92,5,2,5,0,,,,,,,,,,,,
92,6,0.2,4,-1,,,,,,,,,,,,
92,7,1,5,-1,,,,,,,,,,,,
93,0,0,0,0,,,,,,,,,,,,
93,1,0.8,1,0,,,,,,,,,,,,
93,2,2,2,0,,,,,,,,,,,,
93,3,1.8,3,-1,,,,,,,,,,,,
93,4,1.2,4,0,,,,,,,,,,,,
93,5,2,5,0,,,,,,,,,,,,
93,6,0.2,4,-1,,,,,,,,,,,,
93,7,1,5,-1,,,,,,,,,,,,
94,0,0,0,0,,,,,,,,,,,,
94,1,0.8,1,0,,,,,,,,,,,,
94,2,2,2,0,,,,,,,,,,,,
94,3,1.8,3,-1,,,,,,,,,,,,
94,4,1.2,4,0,,,,,,,,,,,,
94,5,2,5,0,,,,,,,,,,,,
94,6,0.2,4,-1,,,,,,,,,,,,
94,7,1,5,-1,,,,,,,,,,,,
95,0,0,0,0,,,,,,,,,,,,
95,1,0.8,1,0,,,,,,,,,,,,
95,2,2,2,0,,,,,,,,,,,,
95,3,1.8,3,-1,,,,,,,,,,,,
95,4,1.2,4,0,,,,,,,,,,,,
95,5,2,5,0,,,,,,,,,,,,
95,6,0.2,4,-1,,,,,,,,,,,,
95,7,1,5,-1,,,,,,,,,,,,
96,0,0,0,0,,,,,,,,,,,,
96,1,0.8,1,0,,,,,,,,,,,,
96,2,2,2,0,,,,,,,,,,,,
96,3,1.8,3,-1,,,,,,,,,,,,
96,4,1.2,4,0,,,,,,,,,,,,
96,5,2,5,0,,,,,,,,,,,,
96,6,0.2,4,-1,,,,,,,,,,,,
96,7,1,5,-1,,,,,,,,,,,,
97,0,0,0,0,,,,,,,,,,,,
97,1,0.8,1,0,,,,,,,,,,,,
97,2,2,2,0,,,,,,,,,,,,
97,3,1.8,3,-1,,,,,,,,,,,,
97,4,1.2,4,0,,,,,,,,,,,,
97,5,2,5,0,,,,,,,,,,,,
97,6,0.2,4,-1,,,,,,,,,,,,
97,7,1,5,-1,,,,,,,,,,,,
98,0,0,0,0,,,,,,,,,,,,
98,1,0.8,1,0,,,,,,,,,,,,
98,2,2,2,0,,,,,,,,,,,,
98,3,1.8,3,-1,,,,,,,,,,,,
98,4,1.2,4,0,,,,,,,,,,,,
98,5,2,5,0,,,,,,,,,,,,
98,6,0.2,4,-1,,,,,,,,,,,,
98,7,1,5,-1,,,,,,,,,,,,
99,0,0,0,0,,,,,,,,,,,,
99,1,0.8,1,0,,,,,,,,,,,,
99,2,2,2,0,,,,,,,,,,,,
99,3,1.8,3,-1,,,,,,,,,,,,
99,4,1.2,4,0,,,,,,,,,,,,
99,5,2,5,0,,,,,,,,,,,,
99,6,0.2,4,-1,,,,,,,,,,,,
99,7,1,5,-1,,,,,,,,,,,,
100,0,0,0,0,,,,,,,,,,,,
100,1,0,1,0,,,,,,,,,,,,
100,2,1,2,0,,,,,,,,,,,,
100,3,1.8,3,0,,,,,,,,,,,,
100,4,0.2,4,0,,,,,,,,,,,,
100,5,1,5,0,,,,,,,,,,,,
100,6,1.2,6,-1,,,,,,,,,,,,
100,7,2,7,-1,,,,,,,,,,,,
101,0,0,0,0,,,,,,,,,,,,
101,1,0,1,0,,,,,,,,,,,,
101,2,1,2,0,,,,,,,,,,,,
101,3,1.8,3,0,,,,,,,,,,,,
101,4,0.2,4,0,,,,,,,,,,,,
101,5,1,5,0,,,,,,,,,,,,
101,6,1.2,6,-1,,,,,,,,,,,,
101,7,2,7,-1,,,,,,,,,,,,
102,0,0,0,0,,,,,,,,,,,,
102,1,0,1,0,,,,,,,,,,,,
102,2,1,2,0,,,,,,,,,,,,
102,3,1.8,3,0,,,,,,,,,,,,
102,4,0.2,4,0,,,,,,,,,,,,
102,5,1,5,0,,,,,,,,,,,,
102,6,1.2,6,-1,,,,,,,,,,,,
102,7,2,7,-1,,,,,,,,,,,,
103,0,0,0,0,,,,,,,,,,,,
103,1,0,1,0,,,,,,,,,,,,
103,2,1,2,0,,,,,,,,,,,,
103,3,1.8,3,0,,,,,,,,,,,,
103,4,0.2,4,0,,,,,,,,,,,,
103,5,1,5,0,,,,,,,,,,,,
103,6,1.2,6,-1,,,,,,,,,,,,
103,7,2,7,-1,,,,,,,,,,,,
104,0,0,0,0,,,,,,,,,,,,
104,1,0,1,0,,,,,,,,,,,,
104,2,1,2,0,,,,,,,,,,,,
104,3,1.8,3,0,,,,,,,,,,,,
104,4,0.2,4,0,,,,,,,,,,,,
104,5,1,5,0,,,,,,,,,,,,
104,6,1.2,6,-1,,,,,,,,,,,,
104,7,2,7,-1,,,,,,,,,,,,
105,0,0,0,0,,,,,,,,,,,,
105,1,0,1,0,,,,,,,,,,,,
105,2,1,2,0,,,,,,,,,,,,
105,3,1.8,3,0,,,,,,,,,,,,
105,4,0.2,4,0,,,,,,,,,,,,
105,5,1,5,0,,,,,,,,,,,,
105,6,1.2,6,-1,,,,,,,,,,,,
105,7,2,7,-1,,,,,,,,,,,,
106,0,0,0,0,,,,,,,,,,,,
106,1,0,1,0,,,,,,,,,,,,
106,2,1,2,0,,,,,,,,,,,,
106,3,1.8,3,0,,,,,,,,,,,,
106,4,0.2,4,0,,,,,,,,,,,,
106,5,1,5,0,,,,,,,,,,,,
106,6,1.2,6,-1,,,,,,,,,,,,
106,7,2,7,-1,,,,,,,,,,,,
107,0,0,0,0,,,,,,,,,,,,
107,1,0,1,0,,,,,,,,,,,,
107,2,1,2,0,,,,,,,,,,,,
107,3,1.8,3,0,,,,,,,,,,,,
107,4,0.2,4,0,,,,,,,,,,,,
107,5,1,5,0,,,,,,,,,,,,
107,6,1.2,6,-1,,,,,,,,,,,,
107,7,2,7,-1,,,,,,,,,,,,
108,0,0,0,0,,,,,,,,,,,,
108,1,0,1,0,,,,,,,,,,,,
108,2,1,2,0,,,,,,,,,,,,
108,3,1.8,3,0,,,,,,,,,,,,
108,4,0.2,4,0,,,,,,,,,,,,
108,5,1,5,0,,,,,,,,,,,,
108,6,1.2,6,-1,,,,,,,,,,,,
108,7,2,7,-1,,,,,,,,,,,,
109,0,0,0,0,,,,,,,,,,,,
109,1,0,1,0,,,,,,,,,,,,
109,2,1,2,0,,,,,,,,,,,,
109,3,1.8,3,0,,,,,,,,,,,,
109,4,0.2,4,0,,,,,,,,,,,,
109,5,1,5,0,,,,,,,,,,,,
109,6,1.2,6,-1,,,,,,,,,,,,
109,7,2,7,-1,,,,,,,,,,,,
110,0,0,0,0,,,,,,,,,,,,
110,1,0,1,0,,,,,,,,,,,,
110,2,1,2,0,,,,,,,,,,,,
110,3,1.8,3,0,,,,,,,,,,,,
110,4,0.2,4,0,,,,,,,,,,,,
110,5,1,5,0,,,,,,,,,,,,
110,6,1.2,6,-1,,,,,,,,,,,,
110,7,2,7,-1,,,,,,,,,,,,
111,0,0,0,0,,,,,,,,,,,,
111,1,0,1,0,,,,,,,,,,,,
111,2,1,2,0,,,,,,,,,,,,
111,3,1.8,3,0,,,,,,,,,,,,
111,4,0.2,4,0,,,,,,,,,,,,
111,5,1,5,0,,,,,,,,,,,,
111,6,1.2,6,-1,,,,,,,,,,,,
111,7,2,7,-1,,,,,,,,,,,,
112,0,0,0,0,,,,,,,,,,,,
112,1,0,1,0,,,,,,,,,,,,
112,2,1,2,0,,,,,,,,,,,,
112,3,1.8,3,0,,,,,,,,,,,,
112,4,0.2,4,0,,,,,,,,,,,,
112,5,1,5,0,,,,,,,,,,,,
112,6,1.2,6,-1,,,,,,,,,,,,
112,7,2,7,-1,,,,,,,,,,,,
113,0,0,0,0,,,,,,,,,,,,
113,1,0,1,0,,,,,,,,,,,,
113,2,1,2,0,,,,,,,,,,,,
113,3,1.8,3,0,,,,,,,,,,,,
113,4,0.2,4,0,,,,,,,,,,,,
113,5,1,5,0,,,,,,,,,,,,
113,6,1.2,6,-1,,,,,,,,,,,,
113,7,2,7,-1,,,,,,,,,,,,
114,0,0,0,0,,,,,,,,,,,,
114,1,0,1,0,,,,,,,,,,,,
114,2,1,2,0,,,,,,,,,,,,
114,3,1.8,3,0,,,,,,,,,,,,
114,4,0.2,4,0,,,,,,,,,,,,
114,5,1,5,0,,,,,,,,,,,,
114,6,1.2,6,-1,,,,,,,,,,,,
114,7,2,7,-1,,,,,,,,,,,,
115,0,0,0,0,,,,,,,,,,,,
115,1,0,1,0,,,,,,,,,,,,
115,2,1,2,0,,,,,,,,,,,,
115,3,1.8,3,0,,,,,,,,,,,,
115,4,0.2,4,0,,,,,,,,,,,,
115,5,1,5,0,,,,,,,,,,,,
115,6,1.2,6,-1,,,,,,,,,,,,
115,7,2,7,-1,,,,,,,,,,,,
116,0,0,0,0,,,,,,,,,,,,
116,1,0,1,0,,,,,,,,,,,,
116,2,1,2,0,,,,,,,,,,,,
116,3,1.8,3,0,,,,,,,,,,,,
116,4,0.2,4,0,,,,,,,,,,,,
116,5,1,5,0,,,,,,,,,,,,
116,6,1.2,6,-1,,,,,,,,,,,,
116,7,2,7,-1,,,,,,,,,,,,
117,0,0,0,0,,,,,,,,,,,,
117,1,0,1,0,,,,,,,,,,,,
117,2,1,2,0,,,,,,,,,,,,
117,3,1.8,3,0,,,,,,,,,,,,
117,4,0.2,4,0,,,,,,,,,,,,
117,5,1,5,0,,,,,,,,,,,,
117,6,1.2,6,-1,,,,,,,,,,,,
117,7,2,7,-1,,,,,,,,,,,,
118,0,0,0,0,,,,,,,,,,,,
118,1,0,1,0,,,,,,,,,,,,
118,2,1,2,0,,,,,,,,,,,,
118,3,1.8,3,0,,,,,,,,,,,,
118,4,0.2,4,0,,,,,,,,,,,,
118,5,1,5,0,,,,,,,,,,,,
118,6,1.2,6,-1,,,,,,,,,,,,
118,7,2,7,-1,,,,,,,,,,,,
119,0,0,0,0,,,,,,,,,,,,
119,1,0,1,0,,,,,,,,,,,,
119,2,1,2,0,,,,,,,,,,,,
119,3,1.8,3,0,,,,,,,,,,,,
119,4,0.2,4,0,,,,,,,,,,,,
119,5,1,5,0,,,,,,,,,,,,
119,6,1.2,6,-1,,,,,,,,,,,,
119,7,2,7,-1,,,,,,,,,,,,
120,0,0,0,0,,,,,,,,,,,,
120,1,0,1,0,,,,,,,,,,,,
120,2,1,2,0,,,,,,,,,,,,
120,3,1.8,3,0,,,,,,,,,,,,
120,4,0.2,4,0,,,,,,,,,,,,
120,5,1,5,0,,,,,,,,,,,,
120,6,1.2,6,-1,,,,,,,,,,,,
120,7,2,7,-1,,,,,,,,,,,,
121,0,0,0,0,,,,,,,,,,,,
121,1,0,1,0,,,,,,,,,,,,
121,2,1,2,0,,,,,,,,,,,,
121,3,1.8,3,0,,,,,,,,,,,,
121,4,0.2,4,0,,,,,,,,,,,,
121,5,1,5,0,,,,,,,,,,,,
121,6,1.2,6,-1,,,,,,,,,,,,
121,7,2,7,-1,,,,,,,,,,,,
122,0,0,0,0,,,,,,,,,,,,
122,1,0,1,0,,,,,,,,,,,,
122,2,1,2,0,,,,,,,,,,,,
122,3,1.8,3,0,,,,,,,,,,,,
122,4,0.2,4,0,,,,,,,,,,,,
122,5,1,5,0,,,,,,,,,,,,
122,6,1.2,6,-1,,,,,,,,,,,,
122,7,2,7,-1,,,,,,,,,,,,
123,0,0,0,0,,,,,,,,,,,,
123,1,0,1,0,,,,,,,,,,,,
123,2,1,2,0,,,,,,,,,,,,
123,3,1.8,3,0,,,,,,,,,,,,
123,4,0.2,4,0,,,,,,,,,,,,
123,5,1,5,0,,,,,,,,,,,,
123,6,1.2,6,-1,,,,,,,,,,,,
123,7,2,7,-1,,,,,,,,,,,,
